Programa	Asignatura
Administración de Empresas	REDES Y MEDIOS DE TRANSMISION                                                                                                                                                                           
Administración de Empresas	REDES Y SEGURIDAD                                                                                                                                                                                       
Administración de Empresas	RESCATE ACUATICO                                                                                                                                                                                        
Administración de Empresas	RESOLUCION DE CONFLICTOS                                                                                                                                                                                
Administración de Empresas	SALUD OCUPACIONAL                                                                                                                                                                                       
Administración de Empresas	SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL                                                                                                                                                                
Administración de Empresas	SALUD OCUPACIONAL: SEGURIDAD Y SALUD EN EL TRABAJO                                                                                                                                                      
Administración de Empresas	SALUD OCUPACIONAL:FACT.DE RIESGO PREV.DE ACCIDENTE                                                                                                                                                      
Administración de Empresas	SALUD OCUPACIONAL:SEGURIDAD Y SALUD EN EL TRABAJO                                                                                                                                                       
Administración de Empresas	SEGURIDAD EN RIESGO ELECTRICO:FILOS.DE LA PREVENCION.                                                                                                                                                   
Administración de Empresas	SEGURIDAD INDUSTRIAL                                                                                                                                                                                    
Administración de Empresas	SEGURIDAD Y SALUD DEL TRABAJO                                                                                                                                                                           
Administración de Empresas	SELECCION DE PERSONAL                                                                                                                                                                                   
Administración de Empresas	SEMINARIO DE AUDITORIA ADMINISTRATIVA                                                                                                                                                                   
Administración de Empresas	SEMINARIO DE INVESTIGACION                                                                                                                                                                              
Administración de Empresas	SEMINARIO DE LOGISTICA                                                                                                                                                                                  
Administración de Empresas	SEMINARIO DE TRIBUTARIA                                                                                                                                                                                 
Administración de Empresas	SEMINARIO GESTION DEL CONOCIMIENTO E INNOVACION                                                                                                                                                         
Administración de Empresas	SERVICIO AL CLIENTE                                                                                                                                                                                     
Administración de Empresas	SERVICIO AL CLIENTE EN LA ORGANIZACION                                                                                                                                                                  
Administración de Empresas	SERVICIO AL CLIENTE MEDIANTE LA COMUNICACION TELEFONICA                                                                                                                                                 
Administración de Empresas	SERVICIO DE MESA Y BAR                                                                                                                                                                                  
Administración de Empresas	SERVICIOS A LOS CLIENTES                                                                                                                                                                                
Administración de Empresas	SIST.INFORMACION ADMINISTRATIVA                                                                                                                                                                         
Administración de Empresas	SISTEMA DE GESTION AMBIENTAL SGA NORMA NTC ISO 14001-04                                                                                                                                                 
Administración de Empresas	SISTEMA DE GESTION DE LA CALIDAD SECTOR PUBLICO:CONOCIMIENTO E IMPL.NORMA NTCGP1000                                                                                                                     
Administración de Empresas	SISTEMA DE GESTION DE LA SEGURIDAD Y SALUD  TRABAJO SG-SST                                                                                                                                              
Administración de Empresas	SISTEMA DE INFORMACIÓN CONTABLE                                                                                                                                                                         
Administración de Empresas	SISTEMA DE SEGURIDAD SOCIAL INTEGRAL EN COLOMBIA                                                                                                                                                        
Administración de Empresas	SISTEMAS DE GESTION DE CALIDAD- SEGURIDAD Y SALUD OCUPACIONAL                                                                                                                                           
Administración de Empresas	SISTEMAS DE INFORMACION                                                                                                                                                                                 
Administración de Empresas	SISTEMAS DE INFORMACION ADMINISTRATIVOS                                                                                                                                                                 
Administración de Empresas	SISTEMAS DE PRODUCCIÓN                                                                                                                                                                                  
Administración de Empresas	SISTEMAS INFORMACION ADMINISTRATIVA                                                                                                                                                                     
Administración de Empresas	SOCIOLOGIA GENERAL E INDUSTRIAL                                                                                                                                                                         
Administración de Empresas	SOLDADURA CON PROCESO SMAW                                                                                                                                                                              
Administración de Empresas	SOLUCION DE CONFLICTOS LABORALES                                                                                                                                                                        
Administración de Empresas	SUMINISTRO DE INFORMACION Y ASESORIA PARA EL CONSUMIDOR FINANCIERO                                                                                                                                      
Administración de Empresas	TALLER DE DISEÑO Y ELABORACION DE EMPAQUES                                                                                                                                                              
Administración de Empresas	TEC. MEDICION ECONOMICA                                                                                                                                                                                 
Administración de Empresas	TECNICA DE GESTION BALANCED SCORECARD NIVEL 1                                                                                                                                                           
Administración de Empresas	TÉCNICAS BÁSICAS DE PINTURA SOBRE MADERA                                                                                                                                                                
Administración de Empresas	TECNICAS DE COMUNICACION EN EL NIVEL OPERATIVO                                                                                                                                                          
Administración de Empresas	TECNICAS DE COMUNICACION EN EL NIVEL TECNICO                                                                                                                                                            
Administración de Empresas	TÉCNICAS DE INVESTIGACIÓN                                                                                                                                                                               
Administración de Empresas	TECNICAS DE MEDICION ECONOMICA                                                                                                                                                                          
Administración de Empresas	TECNICAS FUNDAMENTALES FABRICACION PRODUCTOS DE ASEO HIGIENE                                                                                                                                            
Administración de Empresas	TECNICAS FUNDAMENTALES PARA FABRIC.PROD.ASEO LIMPIE USO DOME                                                                                                                                            
Administración de Empresas	TECNICAS PARA LA PREPARACION DE BEBIDAS A BASE DE CAFE                                                                                                                                                  
Administración de Empresas	TECNICAS PARA LA PREPARACION DE DERIVADOS CARNICOS                                                                                                                                                      
Administración de Empresas	TECNOLOGIAS DE LA INFORMACION GENERALIDADES Y CLASIFICACION                                                                                                                                             
Administración de Empresas	TELETRABAJO PARA EMPLEADOS                                                                                                                                                                              
Administración de Empresas	TELETRABAJO PARA INDEPENDIENTES                                                                                                                                                                         
Administración de Empresas	TELEVISION DIGITAL TERRESTRE: TECNOLOGIA AL ALCANCE DE TODOS                                                                                                                                            
Administración de Empresas	TEO. POLITICA Y MONETARIA                                                                                                                                                                               
Administración de Empresas	TEORIA ADMINISTRATIVA                                                                                                                                                                                   
Administración de Empresas	TEORIA DE LA PLANIFICACION                                                                                                                                                                              
Administración de Empresas	TEORIA DEL CONOCIMIENTO Y LOGICA                                                                                                                                                                        
Administración de Empresas	TEORIA GENERAL DE LA ADMINISTRACION                                                                                                                                                                     
Administración de Empresas	TEORIA GENERAL DE LA ADMON.                                                                                                                                                                             
Administración de Empresas	TEORIA Y POL. COMERCIO INT.                                                                                                                                                                             
Administración de Empresas	TEORÍA Y POLITICAS DEL COMERCIO INTERNACIONAL                                                                                                                                                           
Administración de Empresas	TEORIAS ADMINISTRATIVAS                                                                                                                                                                                 
Administración de Empresas	TLC COLOMBIA - ESTADOS UNIDOS                                                                                                                                                                           
Administración de Empresas	TOMA DE DECISIONES EN NIVEL GERENCIAL                                                                                                                                                                   
Administración de Empresas	TRAMITES LEGALES PARA LA CONSTITUCION DE UNA EMPRESA                                                                                                                                                    
Administración de Empresas	USO DE EXCELL Y ACESS PARA EL DESARROLLO DE APLICACIONES ADM                                                                                                                                            
Administración de Empresas	VIDA UNIVERSITARIA                                                                                                                                                                                      
Administración de Empresas	VITRINISMO: UNA ESTRATEGIA DE COMUNICACION Y MERCADEO                                                                                                                                                   
Administración de Empresas	WORD AVANZADO                                                                                                                                                                                           
Administración de Empresas	WORD BASICO                                                                                                                                                                                             
Administración de Empresas	YOGA CALIDAD DE VIDA                                                                                                                                                                                    
Administración Industrial	ACADEMIC WRITING                                                                                                                                                                                        
Administración Industrial	ACCIONES BASICAS PARA LA ATENC DE UNA PERSONA CON AFECT SALU                                                                                                                                            
Administración Industrial	ACCIONES DE PREVENCION EN SALUD MENTAL                                                                                                                                                                  
Administración Industrial	ACTUALIZACION EN HIGIENE,MANIPULACION, Y CONSERV.ALIMENTOS                                                                                                                                              
Administración Industrial	ACTUALIZACION SISTEMA DE SEGURIDAD SOCIAL EN COLOMBIA                                                                                                                                                   
Administración Industrial	ADITIVOS:ANALISIS Y CONTROL EN LA INDUSTRIA ALIMENTARIA                                                                                                                                                 
Administración Industrial	ADITORIA INT INTEGRA EN SIT DE GEST NORM EN ISO 9001:2008 O                                                                                                                                             
Administración Industrial	ADMINISTRACION DE LA CALIDAD                                                                                                                                                                            
Administración Industrial	ADMINISTRACIÓN DE LA CALIDAD Y PRODUCTIVIDAD                                                                                                                                                            
Administración Industrial	ADMINISTRACIÓN DE MANTENIMIENTO INDUSTRIAL                                                                                                                                                              
Administración Industrial	ADMINISTRACIÓN DE SUELDOS Y SALARIOS                                                                                                                                                                    
Administración Industrial	ADMINISTRACION DE SUELOS Y SALARIOS                                                                                                                                                                     
Administración Industrial	ADMINISTRACION DE TALENTO HUMANO                                                                                                                                                                        
Administración Industrial	ADMINISTRACION DEL TALENTO HUMANO                                                                                                                                                                       
Administración Industrial	ADMINISTRACION DOCUMENTAL EN EL ENTORNO LABORAL                                                                                                                                                         
Administración Industrial	ADMINISTRACION FINANCIERA APLICADA PARA MICROEMPRESARIOS                                                                                                                                                
Administración Industrial	ADMINISTRACION MANTENIMIENTO INDUSTRIAL                                                                                                                                                                 
Administración Industrial	ADMINISTRACION Y CONTROL DE INVENTARIOS                                                                                                                                                                 
Administración Industrial	ADMINISTRACION Y RECUPERACION DE LA CARTERA DE CREDITOS                                                                                                                                                 
Administración Industrial	ADMINISTRATIVO PARA JEFES DE AREA TRABAJO SEGURO EN ALTURAS                                                                                                                                             
Administración Industrial	ADMON. DEL TALENTO HUMANO                                                                                                                                                                               
Administración Industrial	AFILIACION Y PAGO DE APORTES EN SALUD SGSSS                                                                                                                                                             
Administración Industrial	AGRICULTURA ECOLOGICA FERTILIZACIÓN SUELOS Y CULTIVOS                                                                                                                                                   
Administración Industrial	AGROECOLOGIA Y DESARROLLO RURAL                                                                                                                                                                         
Administración Industrial	ALIMENTACION NUTRICION Y SALUD                                                                                                                                                                          
Administración Industrial	ALMACENAMIENTO Y PREPARACIÓN DE LAS MERCANCÍAS                                                                                                                                                          
Administración Industrial	ANÁLISIS DE EFICIENCIA Y PRODUCTIVIDAD                                                                                                                                                                  
Administración Industrial	ANALISIS DEL RESULTADO CONTABLE Y FINANCIERO                                                                                                                                                            
Administración Industrial	ANALISIS DEL SISTEMA DE ADMON DEL RIESGO Y LAVADO DE ACTIVOS Y FINAN. DEL TERRORISMO-SARLAFT                                                                                                            
Administración Industrial	ANÁLISIS ECONÓMICO GLOBAL                                                                                                                                                                               
Administración Industrial	ANALISIS FINANCIERO                                                                                                                                                                                     
Administración Industrial	ANÁLISIS FINANCIERO                                                                                                                                                                                     
Administración Industrial	ANALISIS PARA EL DESARROLLO MOVIL CON APP INVENTOR                                                                                                                                                      
Administración Industrial	APLICACION DE DIDACTICAS EN LA FORMACION PROFESIONAL INTEGRA                                                                                                                                            
Administración Industrial	APLICACION DE HERRAMIENTA METODOLOGICAS EN INVESTIGACION: PR                                                                                                                                            
Administración Industrial	APLICACION DE HERRAMIENTAS METODOLOGICAS EN INVESTIGACION:                                                                                                                                              
Administración Industrial	APLICACION DE LAS TICS A LA ADMINISTRACION DE EMPRESAS                                                                                                                                                  
Administración Industrial	APLICACION DE PARAMETROS DE BUENAS PRACICAS DE MANUFACTURA                                                                                                                                              
Administración Industrial	APRENDIZ DIGITAL                                                                                                                                                                                        
Administración Industrial	APROPIACIÓN DE PRINCIPIOS BÁSICOS EN DUELO                                                                                                                                                              
Administración Industrial	ARMADO DE ENCOFRADOS PARA ESTRUCTURAS EN CONCRETO                                                                                                                                                       
Administración Industrial	ASEGURAMIENTO DE LA CALIDAD EN PROCESAMIENTO DE FRUTAS Y VER                                                                                                                                            
Administración Industrial	ASEGURAMIENTO DE LA CALIDAD EN PRODUCTOS LACTEOS                                                                                                                                                        
Administración Industrial	ASESORIA PARA EL USO DE LAS TIC EN LA FORMACION                                                                                                                                                         
Administración Industrial	ATENCION AL CLIENTE POR MEDIOS TECNOLOGICOS                                                                                                                                                             
Administración Industrial	ATENCION Y SERVICIO AL CLIENTE                                                                                                                                                                          
Administración Industrial	ATENCIÓN Y SERVICIO AL CLIENTE                                                                                                                                                                          
Administración Industrial	AUDITORÍA INFORMÁTICA:CONCEPTUALIZACION                                                                                                                                                                 
Administración Industrial	AUTOCAD                                                                                                                                                                                                 
Administración Industrial	AUTOCAD 2: APLIC DE HERR INTERM EN LA OPT DE PROY DE DIB ASI                                                                                                                                            
Administración Industrial	AVANZADO TRABAJO SEGURO EN ALTURA                                                                                                                                                                       
Administración Industrial	AVANZADO TRABAJO SEGURO EN ALTURAS                                                                                                                                                                      
Administración Industrial	BASE DE DATOS GENERALIDADES Y SISTEMAS DE GESTION                                                                                                                                                       
Administración Industrial	BASES DE DATOS GENERALIDADES Y SIST DE GESTION                                                                                                                                                          
Administración Industrial	BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION                                                                                                                                                      
Administración Industrial	BASICO DE CONTABILIDAD COSTO Y PRESUPUESTOS                                                                                                                                                             
Administración Industrial	BASICO DE CONTABILIDAD COSTOS Y PRESUPUESTO                                                                                                                                                             
Administración Industrial	BASICO DE EMPRENDIMIENTO                                                                                                                                                                                
Administración Industrial	BASICO DE SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL                                                                                                                                                      
Administración Industrial	BASICO EN EMPRENDIMIENTO                                                                                                                                                                                
Administración Industrial	BASICO EN INSTALACIONES DE REDES DE GAS                                                                                                                                                                 
Administración Industrial	BASICO EN MANTENIMIENTO DE COMPUTADORES                                                                                                                                                                 
Administración Industrial	BASICO EN MERCADEO Y VENTAS                                                                                                                                                                             
Administración Industrial	BASICO SALUD OCUPACIONAL                                                                                                                                                                                
Administración Industrial	BEBIDAS Y COCTELES                                                                                                                                                                                      
Administración Industrial	BIOSEGURIDAD APLICADA A LA ESTETICA Y BELLEZA                                                                                                                                                           
Administración Industrial	BUENAS PRACTICAS AGRICOLAS PARA MORA Y NARANJA                                                                                                                                                          
Administración Industrial	BUENAS PRACTICAS EN LA MANIPULACION DE LA CARNES                                                                                                                                                        
Administración Industrial	CALCULO E INTERPRETACION DE INDICADORES FINANIEROS                                                                                                                                                      
Administración Industrial	CALIDAD TOTAL EN EL SERVICIO AL CLIENTE                                                                                                                                                                 
Administración Industrial	CALIDAD: GESTION DEL MEJORAMIENTO CONTINUO                                                                                                                                                              
Administración Industrial	CAPACITACION PARA CONDUCTORES VEHICUL TRANPORT MERCAMC PELIG                                                                                                                                            
Administración Industrial	CATEDRA INSTITUCIONAL                                                                                                                                                                                   
Administración Industrial	CATEDRA UNIVERSIDAD DE CARTAGENA                                                                                                                                                                        
Administración Industrial	CATEDRA VIRTUAL DE PENS EMPR MOD II :GEST EL PROY DE LA EMPR                                                                                                                                            
Administración Industrial	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO I:MENTALIDAD EMP.                                                                                                                                   
Administración Industrial	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO III: EMPRESA Y GESTION                                                                                                                              
Administración Industrial	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL MODULO II :PLANEANDO LA EMPRESA                                                                                                                              
Administración Industrial	CATEDRA VIRTUAL DE PRODUCTIVIDAD Y COMPETIVIDAD 3                                                                                                                                                       
Administración Industrial	CATEDRA VIRTUAL DEL PENS EMPRES-MOD II GEST EL PROY DE LA E                                                                                                                                             
Administración Industrial	CINE GUERRA Y POLITICA                                                                                                                                                                                  
Administración Industrial	CIUDADANO PROMOTOR DE PAZ                                                                                                                                                                               
Administración Industrial	CL PARA HOMOLOGACIONES DE CURSOS VIRTUALES                                                                                                                                                              
Administración Industrial	CL: LA MUSICA Y LA RADIO                                                                                                                                                                                
Administración Industrial	COCINA BASICA                                                                                                                                                                                           
Administración Industrial	COCINA INTERNACIONAL                                                                                                                                                                                    
Administración Industrial	COCINA PERUANA                                                                                                                                                                                          
Administración Industrial	CODIGOS Y NORMAS DE SOLDADURA                                                                                                                                                                           
Administración Industrial	CODIGOS Y NORMAS DE SOLDAURA                                                                                                                                                                            
Administración Industrial	COMERCIALIZACION DE PRODUCTOS TEXTILES                                                                                                                                                                  
Administración Industrial	COMERCIO INTERNACIONAL                                                                                                                                                                                  
Administración Industrial	COMISION DE PERSONAL PARA SERVIDORES PUBLICOS                                                                                                                                                           
Administración Industrial	COMPETENCIAS CIUDADANAS SABER PRO                                                                                                                                                                       
Administración Industrial	COMPETENCIAS PEDAG.PROMOCION DERECHOS SEXUALES Y REPRODUCTIV                                                                                                                                            
Administración Industrial	COMPORTAMIENTO EMPRENDEDOR                                                                                                                                                                              
Administración Industrial	COMPORTAMIENTO ORGANIZACIONAL                                                                                                                                                                           
Administración Industrial	COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS                                                                                                                                                                      
Administración Industrial	COMPRENSION Y PRODUCCION DE TEXTOS II                                                                                                                                                                   
Administración Industrial	COMUNICACION ORAL Y ESCRITA                                                                                                                                                                             
Administración Industrial	CONCEPTUALIZACION DEL LENGUAJE DE PROGRAMACION C++                                                                                                                                                      
Administración Industrial	CONCEPTUALIZACION PARA LA INTEGRACION DE PLC EN LA AUTOMATIZ                                                                                                                                            
Administración Industrial	CONFECCION DE LENCERIA HOGAR                                                                                                                                                                            
Administración Industrial	CONSERVACION DE FRUTAS Y VERDURAS                                                                                                                                                                       
Administración Industrial	CONSTRUCCION DE ACTIVIDADES DE APRENDIZAJES INTEGRANDO TIC                                                                                                                                              
Administración Industrial	CONTABILIDAD BASICA                                                                                                                                                                                     
Administración Industrial	CONTABILIDAD Y FINANZAS PUBLICAS                                                                                                                                                                        
Administración Industrial	CONTABILIDAD: RECONOCIMIENTO DE RECURSOS FINANCIEROS                                                                                                                                                    
Administración Industrial	CONTROL DE LA PRODUCCION                                                                                                                                                                                
Administración Industrial	CONTROL DE PRODUCCION                                                                                                                                                                                   
Administración Industrial	CONTROL ESTADÍSTICO DE CALIDAD                                                                                                                                                                          
Administración Industrial	CONTROLES Y SEGURIDAD INFORMATICA                                                                                                                                                                       
Administración Industrial	CONVERSATIONS IN ENGLISH                                                                                                                                                                                
Administración Industrial	COORDINAR EL TALENTO HUMANO Y TRABAJO EN EQUIPO                                                                                                                                                         
Administración Industrial	CORTES Y PEINADOS                                                                                                                                                                                       
Administración Industrial	CREACION DE BLOGGER                                                                                                                                                                                     
Administración Industrial	CREATIVIDAD PARA LA SOLUCIÓN DE CONFLICTOS                                                                                                                                                              
Administración Industrial	CRM-LA ADMINISTRACION DE LA RELACION CON LOS CLIENTES                                                                                                                                                   
Administración Industrial	CUENTAS CONTABLES                                                                                                                                                                                       
Administración Industrial	CULTURA ITALIANA                                                                                                                                                                                        
Administración Industrial	CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL                                                                                                                                                 
Administración Industrial	CURSO L.PROMOCIÓN DE ESTIL. DE VIDA SALUDABLE                                                                                                                                                           
Administración Industrial	CURSO LIBRE - PRESUPUESTO PUBLICO                                                                                                                                                                       
Administración Industrial	CURSO LIBRE ANALISIS FINANCIERO                                                                                                                                                                         
Administración Industrial	CURSO LIBRE ARTE MUSICAL                                                                                                                                                                                
Administración Industrial	CURSO LIBRE DE EXCEL AVANZADO                                                                                                                                                                           
