Programa	Asignatura
Administración de Empresas	ATENCION AL CLIENTE EN LOS PROCESOS ADMINISTRATIVOS                                                                                                                                                     
Administración de Empresas	ATENCION Y PROMOCION DEL DESARR. EN LA PRIMERA INF. DE 0 A 6                                                                                                                                            
Administración de Empresas	ATENCION Y SERVICIO AL CLIENTE                                                                                                                                                                          
Administración de Empresas	ATENCION Y SERVICIO AL CLIENTE EN LA ORGANIZACION                                                                                                                                                       
Administración de Empresas	AUDITORIA ADMINISTRATIVA                                                                                                                                                                                
Administración de Empresas	AUDITORIA INFORMATICA:CONCEPTUALIZACION                                                                                                                                                                 
Administración de Empresas	AUDITORÍA INFORMÁTICA:CONCEPTUALIZACION                                                                                                                                                                 
Administración de Empresas	AUDITORÍA Y CONSULTORÍA                                                                                                                                                                                 
Administración de Empresas	AUTOCAD                                                                                                                                                                                                 
Administración de Empresas	AUTOCUIDADO EN SEGURIDAD Y SALUD EN EL TRABAJO                                                                                                                                                          
Administración de Empresas	AVANZADO TRABAJO SEGURO EN ALTURA                                                                                                                                                                       
Administración de Empresas	AVANZADO TRABAJO SEGURO EN ALTURAS                                                                                                                                                                      
Administración de Empresas	BASES DE DATOS GENERALIDADES Y SIST DE GESTION                                                                                                                                                          
Administración de Empresas	BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION                                                                                                                                                      
Administración de Empresas	BASICO DE ADMINISTRACION EMPRESARIAL                                                                                                                                                                    
Administración de Empresas	BASICO DE ALMACENAMIENTO Y BODEGAJE DE MERCANCIAS                                                                                                                                                       
Administración de Empresas	BASICO DE CONSTRUCCION DE ESTRUCTURAS EN CONCRETO                                                                                                                                                       
Administración de Empresas	BASICO DE CONTABILIDAD COSTO Y PRESUPUESTOS                                                                                                                                                             
Administración de Empresas	BASICO DE CONTABILIDAD COSTOS Y PRESUPUESTO                                                                                                                                                             
Administración de Empresas	BASICO DE GAS                                                                                                                                                                                           
Administración de Empresas	BASICO DE MESA Y BAR                                                                                                                                                                                    
Administración de Empresas	BASICO DE SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL                                                                                                                                                      
Administración de Empresas	BASICO EN EMPRENDIMIENTO                                                                                                                                                                                
Administración de Empresas	BASICO EN GESTION EMPRESARIAL                                                                                                                                                                           
Administración de Empresas	BÁSICO EN LABORATORIO DE AGUAS                                                                                                                                                                          
Administración de Empresas	BASICO EN MERCADEO Y VENTAS                                                                                                                                                                             
Administración de Empresas	BASICO SALUD OCUPACIONAL                                                                                                                                                                                
Administración de Empresas	BELLEZA BASICA                                                                                                                                                                                          
Administración de Empresas	BIOSEGURIDAD APLICADA A LA ESTETICA Y BELLEZA                                                                                                                                                           
Administración de Empresas	BUENAS PRACTICAS AGRICOLAS                                                                                                                                                                              
Administración de Empresas	BUENAS PRACTICAS DE MANUFACTURA                                                                                                                                                                         
Administración de Empresas	BUENAS PRACTICAS DE MANUFACTURAS                                                                                                                                                                        
Administración de Empresas	BUENAS PRACTICAS EN LA MANIPULACION DE LA CARNES                                                                                                                                                        
Administración de Empresas	C.V INGLES AMERICANO NIVEL I                                                                                                                                                                            
Administración de Empresas	CALCULO E INTERPRETACION DE INDICADORES FINANIEROS                                                                                                                                                      
Administración de Empresas	CALIDAD EN EL DESARROLLO DE SOFTWARE                                                                                                                                                                    
Administración de Empresas	CARACTERIZACION COMPORTAMENTAL DE CLIENTES PARA VENTAS EFECT                                                                                                                                            
Administración de Empresas	CARACTERIZACION DE AUDIENCIA PARA CAMPAÑAS DIGITALES                                                                                                                                                    
Administración de Empresas	CARACTERIZACION DE OPORTUNIDADES DE MERCADOS INTERNACIONALES                                                                                                                                            
Administración de Empresas	CATEDRA CARTAGENA PUERTO Y CIUDAD                                                                                                                                                                       
Administración de Empresas	CATEDRA INSTITUCIONAL                                                                                                                                                                                   
Administración de Empresas	CATEDRA UNIVERSIDAD DE CARTAGENA                                                                                                                                                                        
Administración de Empresas	CATEDRA VIRTUAL DE PENS EMPR MOD II :GEST EL PROY DE LA EMPR                                                                                                                                            
Administración de Empresas	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO I:MENTALIDAD EMP.                                                                                                                                   
Administración de Empresas	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO III: EMPRESA Y GESTION                                                                                                                              
Administración de Empresas	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL MODULO II :PLANEANDO LA EMPRESA                                                                                                                              
